Contracts,Closing Direction,Qty,Entry Price,Exit Price,Closed P&L,Exit Type,Trade Time(UTC+0),Order No.,Create Time
ETHUSDT,Close Long,0.7,1282.80,1300.00,10.86459854,Trade,2022-10-20 10:55:05,0f4bdd26,2022-10-20 10:55:05
ETHUSDT,Close Long,2.31,1330.62,1303.00,-67.37443365,Trade,2022-10-18 15:45:05,10ff2928,2022-10-18 15:45:05
ETHUSDT,Close Long,0.7,1317.95,1335.95,11.485362,Trade,2022-10-17 22:10:24,c6b4c1bd,2022-10-17 22:10:24
ETHUSDT,Close Long,0.7,1315.60,1334.40,12.047,Trade,2022-10-17 13:41:04,e582560f,2022-10-17 13:41:04
BTCUSDT,Close Long,0.114,19125.50,19465.00,35.70672565,Trade,2022-10-17 11:15:11,c43a61bf,2022-10-17 11:15:11
ETHUSDT,Close Long,1.38,1296.45,1317.35,26.57284293,Trade,2022-10-17 09:32:04,611a065b,2022-10-17 09:32:04
ETHUSDT,Close Long,1.81,1293.90,1313.45,32.5614224,Trade,2022-10-16 22:49:04,f4c7ebab,2022-10-16 22:49:04
ETHUSDT,Close Long,0.67,1283.30,1298.50,9.13017339,Trade,2022-10-16 19:46:04,730708d2,2022-10-16 19:46:04
AVAXUSDT,Close Long,113.2,15.575,15.755,17.69549131,Trade,2022-10-16 19:36:09,8fb5ef3f,2022-10-16 19:36:09
ETHUSDT,Close Long,2.28,1296.89,1267.10,-71.69345424,Trade,2022-10-15 23:04:04,0d3e3859,2022-10-15 23:04:04
ETHUSDT,Close Long,1.84,1280.10,1295.90,25.9927048,Trade,2022-10-12 06:32:34,74990c17,2022-10-12 06:32:34
AVAXUSDT,Close Long,110.2,15.910,16.040,12.213466,Trade,2022-10-12 04:18:16,288995d0,2022-10-12 04:18:16
ETHUSDT,Close Long,1.81,1276.44,1293.80,28.47299448,Trade,2022-10-11 15:37:18,a9b6e8a4,2022-10-11 15:37:18
AVAXUSDT,Close Long,180.1,16.915,16.270,-120.26719006,Trade,2022-10-10 22:08:06,facb60ba,2022-10-10 22:08:06
AVAXUSDT,Close Long,180,16.970,17.165,32.73585138,Trade,2022-10-10 01:01:19,bb6cfad0,2022-10-10 01:01:19
ETHUSDT,Close Long,2.14,1315.90,1334.30,35.03413222,Trade,2022-10-10 01:00:12,db5c3e40,2022-10-10 01:00:12
BTCUSDT,Close Long,0.11,19235.50,19536.00,30.18666492,Trade,2022-10-09 16:04:27,ffa996e7,2022-10-09 16:04:27
BTCUSDT,Close Long,0.116,19824.00,19409.50,-51.27072308,Trade,2022-10-07 16:27:20,65ab0197,2022-10-07 16:27:20
ETHUSDT,Close Long,1.85,1353.57,1321.50,-62.59618794,Trade,2022-10-07 16:27:04,2cb1fa5c,2022-10-07 16:27:04
ETHUSDT,Close Long,1.36,1357.10,1376.70,24.4252192,Trade,2022-10-06 12:33:03,3eca07f4,2022-10-06 12:33:03
AVAXUSDT,Close Long,167.3,17.345,17.535,28.00687062,Trade,2022-10-06 00:54:05,5baeb98f,2022-10-06 00:54:05
ETHUSDT,Close Long,1.72,1344.42,1364.35,31.53221121,Trade,2022-10-06 00:20:04,5a6e68b1,2022-10-06 00:20:04
BTCUSDT,Close Long,0.106,20022.00,20240.00,20.4069704,Trade,2022-10-05 16:58:14,28ec2433,2022-10-05 16:58:14
ETHUSDT,Close Long,0.66,1325.30,1344.80,11.8126404,Trade,2022-10-04 07:15:04,507195f7,2022-10-04 07:15:04
BTCUSDT,Close Long,0.115,18973.00,19293.00,33.97172783,Trade,2022-10-03 06:07:42,f1585fa0,2022-10-03 06:07:42
AVAXUSDT,Close Long,176.7,16.780,16.320,-84.61912992,Trade,2022-10-03 00:02:45,037c0d65,2022-10-03 00:02:45
ETHUSDT,Close Long,2.35,1313.42,1286.85,-66.50998802,Trade,2022-10-02 10:16:29,e1462064,2022-10-02 10:16:29
AVAXUSDT,Close Long,184.9,17.415,16.960,-89.05294103,Trade,2022-10-01 18:02:02,0bef8710,2022-10-01 18:02:02
AVAXUSDT,Close Long,187.4,17.240,17.385,23.188401,Trade,2022-09-30 02:07:11,4438f584,2022-09-30 02:07:11
ETHUSDT,Close Long,2.3,1327.44,1348.57,44.98554773,Trade,2022-09-30 00:32:25,8d3681f6,2022-09-30 00:32:25
BTCUSDT,Close Long,0.125,19322.50,18851.00,-61.74707116,Trade,2022-09-29 14:16:05,a6d11144,2022-09-29 14:16:05
ETHUSDT,Close Long,0.74,1332.95,1300.45,-25.20837784,Trade,2022-09-29 13:45:13,2c5eed42,2022-09-29 13:45:13
ETHUSDT,Close Long,0.73,1327.70,1347.10,12.9904376,Trade,2022-09-29 01:31:22,05b206e5,2022-09-29 01:31:22
ETHUSDT,Close Long,2.4,1312.94,1332.10,42.1866493,Trade,2022-09-28 18:36:51,1117aa87,2022-09-28 18:36:51
ETHUSDT,Close Long,0.77,1288.40,1255.95,-26.09363042,Trade,2022-09-28 10:05:40,369fb2e0,2022-09-28 10:05:40
BTCUSDT,Close Long,0.133,19052.50,18510.50,-75.1708825,Trade,2022-09-28 02:23:57,e2a7dd4f,2022-09-28 02:23:57
ETHUSDT,Close Long,1.59,1346.07,1311.85,-56.9471567,Trade,2022-09-27 17:42:06,480e193c,2022-09-27 17:42:06
BTCUSDT,Close Long,0.137,19578.00,19088.00,-70.3083452,Trade,2022-09-27 16:49:17,0ee16b4a,2022-09-27 16:49:17
AVAXUSDT,Close Long,204.8,18.090,17.595,-105.77598628,Trade,2022-09-27 16:18:24,54cc3a56,2022-09-27 16:18:24
BTCUSDT,Close Long,0.145,19067.00,19274.00,26.71482549,Trade,2022-09-27 00:13:38,3c76cbe2,2022-09-27 00:13:38
ETHUSDT,Close Long,1.7,1290.40,1309.45,29.733153,Trade,2022-09-26 12:47:51,929d1675,2022-09-26 12:47:51
ETHUSDT,Close Long,2.72,1294.97,1312.95,44.74119293,Trade,2022-09-26 03:23:07,ac5d136e,2022-09-26 03:23:07
ETHUSDT,Close Long,2.77,1330.79,1299.30,-91.29841159,Trade,2022-09-25 13:48:25,42097690,2022-09-25 13:48:25
AVAXUSDT,Close Long,202.7,17.558,17.965,78.60766574,Trade,2022-09-23 22:18:00,3f866e3c,2022-09-23 22:18:00
BTCUSDT,Close Long,0.138,18683.00,18995.00,39.85395907,Trade,2022-09-23 21:48:04,72ee842c,2022-09-23 21:48:04
ETHUSDT,Close Long,0.82,1303.30,1272.40,-26.6052444,Trade,2022-09-23 13:57:48,50c424f2,2022-09-23 13:57:48
ETHUSDT,Close Long,0.81,1322.80,1342.05,14.2973829,Trade,2022-09-23 03:18:55,2e619e1e,2022-09-23 03:18:55
AVAXUSDT,Close Long,80.7,17.150,17.530,28.9216036,Trade,2022-09-22 19:14:30,547e4200,2022-09-22 19:14:30
BTCUSDT,Close Long,0.136,18852.50,19176.50,40.91650601,Trade,2022-09-22 18:54:08,9530e3f2,2022-09-22 18:54:08
ETHUSDT,Close Long,1.52,1339.35,1357.65,25.29699776,Trade,2022-09-21 12:33:15,1e029af7,2022-09-21 12:33:15
ETHUSDT,Close Long,0.76,1337.80,1356.10,12.6795816,Trade,2022-09-20 14:51:53,3c2818d3,2022-09-20 14:51:53
ETHUSDT,Close Long,1.48,1356.48,1373.90,23.364427,Trade,2022-09-20 07:06:27,80a8fa8c,2022-09-20 07:06:27
ETHUSDT,Close Long,1.94,1348.23,1367.18,33.5982714,Trade,2022-09-20 05:31:57,e7ddb7c9,2022-09-20 05:31:57
ETHUSDT,Close Long,1.55,1304.69,1322.75,25.49939622,Trade,2022-09-19 12:51:11,455e6584,2022-09-19 12:51:11
BTCUSDT,Close Long,0.134,18794.50,18461.50,-47.6173824,Trade,2022-09-19 05:59:10,bd5a206f,2022-09-19 05:59:10
AVAXUSDT,Close Long,140.7,17.342,16.410,-133.16751776,Trade,2022-09-19 02:42:32,06f5df89,2022-09-19 02:42:32
ETHUSDT,Close Long,0.77,1327.05,1353.10,18.8202707,Trade,2022-09-18 23:08:40,fbe689ea,2022-09-18 23:08:40
ETHUSDT,Close Long,1.45,1452.75,1415.70,-56.4341963,Trade,2022-09-18 14:24:34,5b2f48b3,2022-09-18 14:24:34
ETHUSDT,Close Long,1.45,1451.40,1471.50,26.6000758,Trade,2022-09-17 23:39:47,9b755cec,2022-09-17 23:39:47
ETHUSDT,Close Long,1.17,1433.62,1448.70,15.4550805,Trade,2022-09-17 15:42:40,7bc496ab,2022-09-17 15:42:40
ETHUSDT,Close Long,1.16,1472.65,1437.30,-43.28060538,Trade,2022-09-16 13:52:28,5c4cf8a6,2022-09-16 13:52:28
ETHUSDT,Close Long,1.36,1583.75,1594.40,14.72555272,Trade,2022-09-14 20:00:59,1f02c409,2022-09-14 20:00:59
BTCUSDT,Close Long,0.138,20303.00,19738.00,-81.69280319,Trade,2022-09-14 18:13:54,b37565f3,2022-09-14 18:13:54
ETHUSDT,Close Long,0.41,1605.75,1601.70,-2.4495327,Trade,2022-09-14 12:53:12,9cb9cc5f,2022-09-14 12:53:12
ETHUSDT,Close Long,0.42,1558.90,1569.65,3.7266054,Trade,2022-09-14 00:45:37,d42e53a1,2022-09-14 00:45:37
ETHUSDT,Close Long,0.84,1594.70,1553.60,-34.74764376,Trade,2022-09-14 00:21:23,a4447cab,2022-09-14 00:21:23
BTCUSDT,Close Long,0.276,21429.00,20891.00,-155.496192,Trade,2022-09-13 14:52:07,a0a3a013,2022-09-13 14:52:07
ETHUSDT,Close Long,2.32,1679.44,1705.43,55.5772606,Trade,2022-09-13 02:53:24,cb952377,2022-09-13 02:53:24
ETHUSDT,Close Long,0.68,1730.05,1751.15,12.9276704,Trade,2022-09-12 11:39:14,f4bd69a2,2022-09-12 11:39:14
ETHUSDT,Close Long,1.34,1725.00,1750.05,30.7730598,Trade,2022-09-11 22:13:40,8ee81cc2,2022-09-11 22:13:40
ETHUSDT,Close Long,1.81,1766.72,1720.55,-86.45044329,Trade,2022-09-11 21:50:52,89b77048,2022-09-11 21:50:52
ETHUSDT,Close Long,2.21,1752.84,1778.70,52.98446566,Trade,2022-09-11 11:20:10,5d4e6bc9,2022-09-11 11:20:10
ETHUSDT,Close Long,2.21,1715.74,1740.75,51.76868955,Trade,2022-09-10 19:29:21,ea1c3e55,2022-09-10 19:29:21
ETHUSDT,Close Long,0.67,1701.55,1742.15,25.88101692,Trade,2022-09-09 12:37:53,91655644,2022-09-09 12:37:53
ETHUSDT,Close Long,2.24,1636.60,1659.15,46.1093874,Trade,2022-09-09 03:33:41,6be1294a,2022-09-09 03:33:41
ETHUSDT,Close Long,0.68,1611.20,1634.75,14.6896524,Trade,2022-09-08 19:50:27,6cc90b9c,2022-09-08 19:50:27
ETHUSDT,Close Long,2.22,1604.03,1625.60,43.69958059,Trade,2022-09-08 10:11:15,b7366939,2022-09-08 10:11:15
ETHUSDT,Close Long,1.32,1615.85,1641.45,31.2122184,Trade,2022-09-08 04:24:55,f425eb09,2022-09-08 04:24:55
ETHUSDT,Close Long,2.4,1530.97,1492.00,-97.8785753,Trade,2022-09-07 02:24:29,e550339d,2022-09-07 02:24:29
ETHUSDT,Close Long,1.79,1634.11,1657.50,38.3268072,Trade,2022-09-06 05:38:36,cfb50f0f,2022-09-06 05:38:36
BTCUSDT,Close Long,0.267,19680.50,19883.00,47.20114457,Trade,2022-09-06 00:17:20,daa2e09b,2022-09-06 00:17:20
ETHUSDT,Close Long,0.68,1572.10,1596.20,15.10539952,Trade,2022-09-05 15:02:22,b7c5a00f,2022-09-05 15:02:22
BTCUSDT,Close Long,0.251,19767.00,19983.50,47.85847898,Trade,2022-09-04 23:39:04,8b651ef7,2022-09-04 23:39:04
ETHUSDT,Close Long,3.02,1560.99,1577.75,46.54293375,Trade,2022-09-04 21:28:59,002baf6e,2022-09-04 21:28:59
ETHUSDT,Close Long,2.16,1554.80,1575.45,40.547196,Trade,2022-09-02 21:21:40,14900c39,2022-09-02 21:21:40
ETHUSDT,Close Long,2.11,1560.25,1581.20,40.3699548,Trade,2022-09-01 11:38:24,a7593e8b,2022-09-01 11:38:24
ETHUSDT,Close Long,2.09,1542.00,1564.10,42.2939506,Trade,2022-09-01 02:05:56,6f725afa,2022-09-01 02:05:56
ETHUSDT,Close Long,2,1599.47,1607.20,11.75720474,Trade,2022-08-31 12:18:56,8fcaf47c,2022-08-31 12:18:56
BTCUSDT,Close Long,0.222,19774.50,20135.50,74.18204447,Trade,2022-08-31 01:39:31,ac90f6db,2022-08-31 01:39:31
ETHUSDT,Close Long,1.98,1531.75,1553.40,39.39458055,Trade,2022-08-31 00:31:58,32a8df48,2022-08-31 00:31:58
